address,total_count,other_count,pistol_count,revolver_count,rifle_count,shotgun_count,year,month,dow,neighborhood,council_district,ward,tract,public_works_division,police_zone,fire_zone,latitude,longitude
"300 BLOCK S NEGLEY AVE PITTSBURGH, PA 15206",55,0,30,0,22,3,2020,9,2,East Liberty,9,11,42003111500,2,5,3-8,40.4656630058358,-79.9291230901834
"1800 BLOCK FAIRLEE ST PITTSBURGH, PA 15212",44,3,19,0,17,5,2020,9,1,Brighton Heights,1,27,42003270300,1,1,1-14,40.4790078579818,-80.041642632826
"1000 BLOCK SOUTH SIDE AVE PITTSBURGH, PA 15212",29,0,4,3,15,7,2019,2,2,,,,42003561000,,1,3-21,40.4400896860178,-79.8802041994655
"700 BLOCK N HOMEWOOD AVE PITTSBURGH, PA 15208",24,0,10,6,3,5,2015,4,1,Homewood South,9,13,42003130300,2,5,3-17,40.4556290191127,-79.8966745476016
"1600 BLOCK WORTHINGTON ST PITTSBURGH, PA 15206",19,1,12,2,3,1,2015,11,6,Lincoln-Lemington-Belmar,9,12,42003561900,2,5,3-18,40.4683723873686,-79.8917006112731
"7300 BLOCK BENNETT ST PITTSBURGH, PA 15208",18,0,9,0,7,2,2021,8,3,Homewood South,9,13,42003130300,2,5,3-17,40.4558249397799,-79.8944400025147
"1200 BLOCK JANCEY ST PITTSBURGH, PA 15206",16,14,2,0,0,0,2015,10,4,Morningside,7,10,42003101400,2,5,3-7,40.479435366814,-79.929506718835
"1600 BLOCK SANDUSKY CT PITTSBURGH, PA 15212",12,0,9,1,2,0,2016,10,4,Central Northside,6,25,42003220600,1,1,1-10,40.4589236267468,-80.0055084339585
"100 BLOCK E 8TH AVE HOMESTEAD , PA 15102",11,0,5,3,3,0,2015,9,1,,,,42003483800,,OSC,,40.4059318891126,-79.9118297649661
"700 BLOCK WENZELL AVE PITTSBURGH, PA 15216",11,0,4,3,1,3,2019,3,2,Beechview,2,20,42003192000,5,6,4-28,40.4050193913515,-80.0335199324849
"1000 BLOCK WOODS RUN AVE PITTSBURGH, PA 15212",9,2,2,1,2,2,2022,2,5,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.4789546463671,-80.0276236166119
"7200 BLOCK CHURCHLAND ST PITTSBURGH, PA 15206",8,3,4,1,0,0,2019,8,4,,,,,,5,,,
"7900 BLOCK TACOMA ST PITTSBURGH, PA 15208",8,0,3,4,1,0,2017,12,4,Homewood South,9,13,42003130400,2,5,3-17,40.4508041280825,-79.8863673164327
"1000 BLOCK HERSCHEL ST PITTSBURGH, PA 15220",8,0,3,0,5,0,2018,3,3,Elliott,2,20,42003562600,5,6,1-17,40.4416902650524,-80.0443875582889
"4700 BLOCK LORIGAN ST PITTSBURGH, PA 15224",7,1,2,0,2,2,2017,7,3,Bloomfield,7,8,42003080200,2,5,3-1,40.4588594116744,-79.9518145383702
"200 BLOCK MOORE AVE PITTSBURGH, PA 15210",7,0,3,0,3,1,2015,6,3,Knoxville,3,30,42003300100,5,3,4-7,40.411391761096,-79.9904119074762
"<100 BLOCK BIGELOW ST PITTSBURGH, PA 15207",7,0,2,0,5,0,2021,4,0,Hazelwood,5,15,42003562900,3,4,2-12,40.4223890341946,-79.9478454069349
"1500 BLOCK FORSYTHE ST PITTSBURGH, PA 15212",7,0,5,0,0,2,2017,6,4,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.4707681058412,-80.0336833138481
"300 BLOCK ORCHARD PL PITTSBURGH, PA 15210",7,0,4,0,1,2,2021,12,5,Knoxville,3,30,42003300100,5,3,4-6,40.4179906681203,-79.9931946099197
"1300 BLOCK STEUBEN ST PITTSBURGH, PA 15220",6,2,2,1,1,0,2016,5,3,Crafton Heights,2,28,42003281400,5,6,1-17,40.4418431256319,-80.0486736497072
"100 BLOCK MILLBRIDGE ST PITTSBURGH, PA 15210",6,0,0,1,4,1,2016,1,5,Allentown,3,18,42003180300,5,3,4-21,40.421752426669,-79.9958297289367
"100 BLOCK LACLEDE ST PITTSBURGH, PA 15211",6,0,4,2,0,0,2016,11,4,Mount Washington,3,18,42003180700,5,3,4-5,40.4238075700052,-80.003152486922
"1400 BLOCK METHYL ST PITTSBURGH, PA 15216",6,0,4,1,1,0,2022,2,4,Beechview,4,19,42003191600,5,6,4-28,40.4142213461431,-80.0260254093828
"4500 BLOCK CENTRE AVE PITTSBURGH, PA 15213",6,0,5,1,0,0,2021,2,6,North Oakland,8,4,42003562000,3,4,2-23,40.4513984891143,-79.9530440466409
"3200 BLOCK WARD ST PITTSBURGH, PA 15213",6,0,3,1,2,0,2017,7,4,,,,,,4,,,
"700 BLOCK HAMPSHIRE AVE PITTSBURGH, PA 15216",6,0,3,1,2,0,2017,7,5,,,,,,6,,,
"200 BLOCK AUGUSTA ST PITTSBURGH, PA 15211",5,0,0,0,3,2,2019,6,1,Duquesne Heights,2,19,42003191100,5,3,4-1,40.4390514384493,-80.0224946008673
"5500 BLOCK BAYWOOD ST PITTSBURGH, PA 15206",5,0,2,0,2,1,2017,5,2,East Liberty,9,11,42003111300,2,5,3-8,40.4714362575067,-79.9289189283967
"2200 BLOCK VALERA AVE PITTSBURGH, PA 15210",5,0,0,0,4,1,2018,4,3,Carrick,4,29,42003290400,3,3,4-23,40.3901779222416,-79.9883450761441
"5700 BLOCK BRYANT ST PITTSBURGH, PA 15206",5,0,5,0,0,0,2018,4,1,Highland Park,7,11,42003110200,2,5,3-9,40.4759853009843,-79.9211413297919
"100 BLOCK OAKLAND AVE PITTSBURGH, PA 15213",5,0,5,0,0,0,2018,4,1,Central Oakland,3,4,42003040500,3,4,2-14,40.4422025627084,-79.9578262481479
"1800 BLOCK MAPLEWOOD AVE PITTSBURGH, PA 15221",5,0,4,1,0,0,2015,8,5,East Hills,9,13,42003130600,2,5,3-19,40.4513378893445,-79.8776874289506
"1200 BLOCK NOLAN CT PITTSBURGH, PA 15221",5,0,2,0,3,0,2021,10,4,Homewood North,9,13,42003130100,2,5,3-17,40.4594394730591,-79.8868738733753
