,neighborhood,Land Area (acres),Park Space (% of land area),Greenway (% of land area),Woodland (% of land area),SumGreenArea
65,Regent Square,122.9,0.516,0.0,0.33299999999999996,0.849
35,Glen Hazel,291.8,0.0,0.159,0.6459999999999999,0.8049999999999999
37,Hays,"1,120.0",0.001,0.0,0.7170000000000001,0.7180000000000001
60,Perry North,775.7,0.33299999999999996,0.0,0.376,0.709
24,Duquesne Heights,398.7,0.22899999999999998,0.166,0.295,0.69
76,Squirrel Hill South,"1,709.4",0.4,0.0,0.289,0.6890000000000001
39,Highland Park,744.3,0.47100000000000003,0.0,0.16899999999999998,0.64
54,New Homestead,508.2,0.004,0.0,0.62,0.624
73,Spring Garden,176.0,0.081,0.098,0.366,0.5449999999999999
77,St. Clair,198.4,0.0,0.0,0.493,0.493
11,Bon Air,200.3,0.133,0.0,0.349,0.482
81,Swisshelm Park,307.2,0.11900000000000001,0.0,0.312,0.431
29,Elliott,387.8,0.12,0.06,0.24600000000000002,0.42600000000000005
4,Arlington Heights,84.5,0.0,0.0,0.418,0.418
0,Allegheny Center,134.4,0.41100000000000003,0.0,0.0,0.41100000000000003
74,Spring Hill-City View,403.2,0.05,0.091,0.262,0.403
53,Mt. Oliver,64.0,0.27699999999999997,0.0,0.115,0.39199999999999996
66,Ridgemont,236.2,0.0,0.0,0.386,0.386
58,Oakwood,161.3,0.03,0.0,0.33799999999999997,0.368
45,Lincoln Place,629.8,0.037000000000000005,0.064,0.264,0.365
7,Beechview,934.4,0.021,0.131,0.21100000000000002,0.363
2,Allentown,188.8,0.209,0.0,0.12300000000000001,0.332
8,Beltzhoover,269.4,0.204,0.0,0.125,0.32899999999999996
3,Arlington,300.8,0.022000000000000002,0.0,0.294,0.316
6,Bedford Dwellings,114.6,0.076,0.0,0.23399999999999999,0.31
78,Stanton Heights,470.4,0.03,0.068,0.204,0.302
52,Mount Washington,729.6,0.153,0.004,0.133,0.29000000000000004
57,Northview Heights,200.3,0.0,0.0,0.28800000000000003,0.28800000000000003
46,Lincoln-Lemington-Belmar,"1,159.7",0.021,0.0,0.265,0.28600000000000003
68,Sheraden,569.6,0.105,0.0,0.171,0.276
89,Windgap,265.6,0.044000000000000004,0.0,0.23199999999999998,0.27599999999999997
88,Westwood,442.9,0.033,0.0,0.23199999999999998,0.265
72,South Side Slopes,458.2,0.139,0.0,0.122,0.261
31,Fairywood,620.2,0.012,0.0,0.247,0.259
38,Hazelwood,"1,013.1",0.024,0.085,0.145,0.254
64,Polish Hill,163.2,0.15,0.0,0.095,0.245
22,Crafton Heights,482.6,0.015,0.0,0.217,0.23199999999999998
32,Fineview,160.0,0.031,0.0,0.198,0.229
13,Brookline,"1,332.5",0.046,0.0,0.174,0.21999999999999997
59,Overbrook,537.0,0.032,0.0,0.183,0.215
5,Banksville,620.2,0.027000000000000003,0.0,0.182,0.209
26,East Carnegie,276.5,0.002,0.0,0.198,0.2
86,West End,128.0,0.061,0.004,0.132,0.197
80,Summer Hill,281.0,0.0,0.0,0.188,0.188
12,Brighton Heights,714.9,0.047,0.01,0.127,0.184
51,Morningside,244.5,0.09,0.01,0.08199999999999999,0.182
61,Perry South,579.2,0.022000000000000002,0.022000000000000002,0.13699999999999998,0.181
20,Chartiers City,84.5,0.002,0.0,0.175,0.177
27,East Hills,346.2,0.039,0.0,0.125,0.164
62,Point Breeze,642.6,0.085,0.0,0.076,0.161
82,Terrace Village,218.9,0.073,0.0,0.083,0.156
84,Upper Hill,200.3,0.064,0.0,0.092,0.156
15,Carrick,"1,070.7",0.035,0.0,0.12,0.155
87,West Oakland,137.6,0.008,0.0,0.134,0.14200000000000002
1,Allegheny West,90.2,0.08,0.0,0.042,0.122
34,Garfield,292.5,0.028999999999999998,0.0,0.09,0.119
19,Central Oakland,179.8,0.069,0.0,0.039,0.10800000000000001
83,Troy Hill,294.4,0.027999999999999997,0.0,0.075,0.103
