neighborhood,Total
Allegheny Center,15
Allegheny West,17
Allentown,86
Arlington,39
Arlington Heights,10
Banksville,10
Bedford Dwellings,73
Beechview,88
Beltzhoover,44
Bloomfield,47
Bluff,51
Bon Air,11
Brighton Heights,131
Brookline,75
California-Kirkbride,26
Carrick,139
Central Business District,112
Central Lawrenceville,26
Central Northside,79
Central Oakland,18
Chartiers City,4
Chateau,22
Crafton Heights,54
Crawford-Roberts,49
Duquesne Heights,18
East Allegheny,49
East Hills,117
East Liberty,142
Elliott,52
Esplen,9
Fairywood,8
Fineview,69
Friendship,5
Garfield,85
Glen Hazel,15
Greenfield,22
Hays,8
Hazelwood,136
Highland Park,39
Homewood North,152
Homewood South,311
Homewood West,54
Knoxville,107
Larimer,121
Lincoln Place,8
Lincoln-Lemington-Belmar,127
Lower Lawrenceville,15
Manchester,68
Marshall-Shadeland,135
Middle Hill,87
Morningside,26
Mount Oliver Borough,8
Mount Washington,86
Mt. Oliver,3
North Oakland,20
North Shore,18
Northview Heights,56
Oakwood,4
Overbrook,24
Perry North,41
Perry South,129
Point Breeze,26
Point Breeze North,19
Polish Hill,9
Regent Square,3
Shadyside,27
Sheraden,113
South Oakland,21
South Shore,11
South Side Flats,176
South Side Slopes,38
Spring Garden,11
Spring Hill-City View,70
Squirrel Hill North,14
Squirrel Hill South,36
St. Clair,7
Stanton Heights,12
Strip District,23
Summer Hill,3
Swisshelm Park,3
Terrace Village,40
Troy Hill,38
Upper Hill,28
Upper Lawrenceville,14
West End,5
West Oakland,14
Westwood,10
Windgap,13
