,neighborhood,incidents_counts
0,Central Business District,3324
1,South Side Flats,2856
2,Carrick,1963
3,East Allegheny,1777
4,Homewood South,1747
5,Homewood North,1652
6,East Liberty,1536
7,Marshall-Shadeland,1260
8,Bluff,1225
9,Mount Washington,1191
10,Knoxville,1127
11,Hazelwood,1117
12,Brookline,1113
13,Sheraden,1066
14,Lincoln-Lemington-Belmar,1058
15,Beechview,1032
16,Allegheny Center,1016
17,East Hills,953
18,Brighton Heights,926
19,Perry South,894
20,Bloomfield,840
21,Shadyside,815
22,Allentown,805
23,Middle Hill,792
24,Fineview,730
25,Central North Side,718
26,Larimer,707
27,Crawford-Roberts,687
28,South Side Slopes,678
29,Squirrel Hill South,670
30,Homewood West,662
31,North Shore,658
32,Spring Hill-City View,607
33,Northview Heights,597
34,Garfield,584
35,Elliott,547
36,Perry North,532
37,Bedford Dwellings,530
38,Highland Park,483
39,Crafton Heights,480
40,Central Oakland,444
41,Greenfield,443
42,Beltzhoover,436
43,Manchester,420
44,Strip District,417
45,Central Lawrenceville,379
46,Chateau,363
47,North Oakland,361
48,Troy Hill,355
49,Upper Hill,309
50,South Oakland,294
51,Point Breeze,275
52,Overbrook,262
53,Outside City,259
54,West Oakland,256
55,Arlington,250
56,South Shore,249
57,Banksville,243
58,California-Kirkbride,239
59,West End,233
60,Point Breeze North,232
61,Terrace Village,227
62,Squirrel Hill North,225
63,Bon Air,217
64,Lower Lawrenceville,216
65,Spring Garden,197
66,Stanton Heights,189
67,Westwood,188
68,Lincoln Place,174
69,Esplen,171
70,Morningside,168
71,Duquesne Heights,168
72,Upper Lawrenceville,161
73,Friendship,143
74,Polish Hill,137
75,Glen Hazel,136
76,Arlington Heights,122
77,Allegheny West,109
78,Mount Oliver,108
79,Fairywood,100
80,Windgap,95
81,Hays,94
82,Golden Triangle/Civic Arena,83
83,Oakwood,70
84,Summer Hill,60
85,Outside State,52
86,Outside County,46
87,East Carnegie,44
88,St. Clair,42
89,New Homestead,35
90,Chartiers City,35
91,Swisshelm Park,33
92,Ridgemont,30
93,Regent Square,28
94,Central Northside,23
95,Mt. Oliver Boro,18
96,Troy Hill-Herrs Island,6
97,Mt. Oliver Neighborhood,2
